What is 12 x 12?,144,120,414,441
Who is the current president? ,Joe Biden,Donald Trump,Barack Obama,George W. Bush
"Given 3 oranges, 5 bananas, and 4 carrots, how many fruit are there?",8,9,7,6
What is the captital of Texas?,Austin,Houston,San Antonio,Dallas
Which of these is a coastal state?,Florida,West Virginia,Kentucky,Kansas
What is the capital of the USA?,Washington,New York ,Franklin,Arlington
What continent is France in?,Europe,Asia,Africa,South America
What is 6 x 8?,48,42,54,47
What continent is South Africa in?,Africa,Asia,South America,Europe
What is 5 x 5?,25,26,27,24
